ZipCode,StateCode,PrimaryCity,County
01851,MA,LOWELL,ATLANTIC
01854,MA,LOWELL,ATLANTIC
01821,MA,BILLERICA,ATLANTIC
01852,MA,LOWELL,ATLANTIC
01854,MA,LOWELL,ATLANTIC
01854,MA,LOWELL,ATLANTIC
01860,MA,MERRIMAC,ATLANTIC
01821,MA,BILLERICA,ATLANTIC
01862,MA,NORTH BILLERICA,ATLANTIC
01863,MA,NORTH CHELMSFORD,ATLANTIC
01864,MA,NORTH READING,ATLANTIC
01801,MA,WOBURN,ATLANTIC
01865,MA,NUTTING LAKE,ATLANTIC
01866,MA,PINEHURST,ATLANTIC
01867,MA,READING,ATLANTIC
01801,MA,WOBURN,ATLANTIC
01876,MA,TEWKSBURY,ATLANTIC
01879,MA,TYNGSBORO,ATLANTIC
01880,MA,WAKEFIELD,ATLANTIC
01880,MA,WAKEFIELD,ATLANTIC
01801,MA,WOBURN,ATLANTIC
01885,MA,WEST BOXFORD,ATLANTIC
01886,MA,WESTFORD,ATLANTIC
01886,MA,WESTFORD,ATLANTIC
01886,MA,WESTFORD,ATLANTIC
01887,MA,WILMINGTON,ATLANTIC
01801,MA,WOBURN,ATLANTIC
01801,MA,WOBURN,ATLANTIC
01890,MA,WINCHESTER,ATLANTIC
01801,MA,WOBURN,ATLANTIC
01901,MA,LYNN,ATLANTIC
01901,MA,LYNN,ATLANTIC
01901,MA,LYNN,ATLANTIC
01904,MA,LYNN,ATLANTIC
01901,MA,LYNN,ATLANTIC
01901,MA,LYNN,ATLANTIC
01905,MA,LYNN,ATLANTIC
01906,MA,SAUGUS,ATLANTIC
01907,MA,SWAMPSCOTT,ATLANTIC
01901,MA,LYNN,ATLANTIC
01908,MA,NAHANT,ATLANTIC
01913,MA,AMESBURY,ATLANTIC
01915,MA,BEVERLY,ATLANTIC
01915,MA,BEVERLY,ATLANTIC
01915,MA,BEVERLY,ATLANTIC
01915,MA,BEVERLY,ATLANTIC
01921,MA,BOXFORD,ATLANTIC
01922,MA,BYFIELD,ATLANTIC
01923,MA,DANVERS,ATLANTIC
01960,MA,PEABODY,ATLANTIC
01929,MA,ESSEX,ATLANTIC
01930,MA,GLOUCESTER,ATLANTIC
01930,MA,GLOUCESTER,ATLANTIC
01930,MA,GLOUCESTER,ATLANTIC
01930,MA,GLOUCESTER,ATLANTIC
01930,MA,GLOUCESTER,ATLANTIC
01936,MA,HAMILTON,ATLANTIC
01937,MA,HATHORNE,ATLANTIC
01938,MA,IPSWICH,ATLANTIC
01938,MA,IPSWICH,ATLANTIC
01940,MA,LYNNFIELD,ATLANTIC
01940,MA,LYNNFIELD,ATLANTIC
01801,MA,WOBURN,ATLANTIC
01944,MA,MANCHESTER,ATLANTIC
01945,MA,MARBLEHEAD,ATLANTIC
01949,MA,MIDDLETON,ATLANTIC
01950,MA,NEWBURYPORT,ATLANTIC
01950,MA,NEWBURYPORT,ATLANTIC
01950,MA,NEWBURYPORT,ATLANTIC
01950,MA,NEWBURYPORT,ATLANTIC
01952,MA,SALISBURY,ATLANTIC
01960,MA,PEABODY,ATLANTIC
01960,MA,PEABODY,ATLANTIC
01960,MA,PEABODY,ATLANTIC
01960,MA,PEABODY,ATLANTIC
01965,MA,PRIDES CROSSING,ATLANTIC
01966,MA,ROCKPORT,ATLANTIC
01966,MA,ROCKPORT,ATLANTIC
01969,MA,ROWLEY,ATLANTIC
01970,MA,SALEM,ATLANTIC
01970,MA,SALEM,ATLANTIC
